country_name,promedio_mortalidad,minimo_mortalidad,maximo_mortalidad,cantidad_años
Greece,10.708,9.4,13.6,25
Greenland,8.468,7.2,9.7,25
Grenada,7.83912,7.209,9.198,25
Guam,5.62188,4.51,7.414,25
Guatemala,5.51208,4.829,6.909,25
Guinea,11.62424,9.028,14.892,25
Guinea-Bissau,10.611040000000001,7.009,15.769,25
Guyana,7.88316,7.309,10.998,25
Haiti,9.1068,7.804,17.931,25
Honduras,4.75144,4.442,5.727,25
"Hong Kong SAR, China",6.152,5.0,8.7,25
Hungary,13.395999999999999,12.8,16.2,25
Iceland,6.4079999999999995,6.1,7.0,25
India,7.34844,6.576,9.259,25
Indonesia,7.65656,7.315,10.042,25
"Iran, Islamic Rep.",4.85752,4.609,6.439,25
Iraq,5.4570799999999995,4.132,7.101,25
Ireland,6.648,6.1,8.2,25
Isle of Man,10.448640000000001,9.411,12.743,25
Israel,5.396,5.0,6.0,25
Italy,10.38,9.5,12.5,25
Jamaica,7.05168,6.358,9.705,25
Japan,9.96,7.7,13.3,25
Jordan,3.4858800000000003,3.033,4.068,25
Kazakhstan,8.6782,6.697,10.622,25
Kenya,7.906960000000001,7.126,9.942,25
Kiribati,7.05544,6.849,8.152,25
"Korea, Dem. People's Rep.",9.13152,7.897,11.059,25
"Korea, Rep.",5.524,5.0,7.3,25
Kosovo,5.7289200000000005,5.101,8.553,25
Kuwait,1.9402459389134357,1.52,2.59,25
Kyrgyz Republic,6.176,4.4,7.4,25
Lao PDR,7.75288,6.187,10.033,25
Latvia,14.66,13.6,18.4,25
Lebanon,4.84708,4.049,8.421,25
Lesotho,15.742160000000002,10.478,20.795,25
Liberia,10.20876,8.016,14.843,25
Libya,5.1212800000000005,4.593,6.654,25
Liechtenstein,6.716,5.7,8.2,25
Lithuania,13.572000000000001,11.1,17.0,25
Luxembourg,7.44,6.6,9.0,25
"Macao SAR, China",3.34,3.0,4.4,25
Madagascar,8.17768,7.452,10.464,25
Malawi,10.323879999999999,5.292,18.022,25
Malaysia,4.67912,4.165,6.201,25
Maldives,3.22492,2.329,4.412,25
Mali,11.742799999999999,8.51,16.02,25
Malta,7.652,7.3,8.1,25
Marshall Islands,6.684880000000001,6.376,7.389,25
Mauritania,7.019360000000001,5.414,8.861,25
Mauritius,7.9239999999999995,6.7,10.6,25
Mexico,6.00472,5.433,9.015,25
"Micronesia, Fed. Sts.",7.30784,6.702,7.97,25
Moldova,12.94996,11.819,16.7,25
Monaco,15.78016,9.884,24.387,25
Mongolia,6.2648,5.1,7.08,25
Montenegro,9.992,8.9,14.6,25
Morocco,5.98044,5.572,6.479,25
Mozambique,10.80912,6.908,15.664,25
Myanmar,9.41636,8.827,12.279,25
Namibia,10.15308,6.169,12.801,25
Nauru,7.82684,7.472,8.248,25
Nepal,7.25164,6.888,8.369,25
Netherlands,8.72,8.1,9.8,25
New Caledonia,5.72492,5.097,7.412,25
New Zealand,6.8704,6.43,7.58,25
Nicaragua,5.256,4.586,6.663,25
Niger,11.91488,8.719,17.7,25
Nigeria,14.223279999999999,11.641,17.439,25
North Macedonia,9.930134591723,8.3,15.5,25
Northern Mariana Islands,3.39624,2.499,4.977,25
Norway,8.44,7.5,9.8,25
Oman,2.42588,1.901,3.155,25
Pakistan,7.53392,6.445,8.899,25
Palau,10.05304,9.053,11.729,25
Panama,4.77172,4.577,5.864,25
Papua New Guinea,7.187799999999999,6.516,7.803,25
Paraguay,5.52972,5.171,8.92,25
Peru,6.273479999999999,5.491,9.297,25
Philippines,5.7160400000000005,5.356,7.992,25
Poland,10.44,9.4,14.0,25
Portugal,10.475999999999999,9.7,12.0,25
Puerto Rico (US),8.48148,7.28,11.0,25
Qatar,1.2501600000000002,0.841,1.854,25
Romania,12.972000000000001,11.4,17.5,25
Russian Federation,14.107999999999999,12.1,16.7,25
Rwanda,8.2556,5.895,15.173,25
Samoa,5.877960000000001,5.233,6.529,25
San Marino,7.50444,6.0,9.9,25
Sao Tome and Principe,7.38812,5.53,9.653,25
Saudi Arabia,2.59808,2.174,3.234,25
Senegal,7.6181600000000005,5.505,10.815,25
Serbia,14.6148,13.2,20.0,25
Seychelles,7.672000000000001,6.8,9.3,25
Sierra Leone,13.35056,8.211,20.008,25
Singapore,4.836,4.3,6.3,25
Sint Maarten (Dutch part),5.5604,3.782,8.819,25
Slovak Republic,10.032,9.5,13.5,25
Slovenia,9.652000000000001,9.1,11.4,25
Solomon Islands,5.69432,5.083,6.071,25
"Somalia, Fed. Rep.",14.43304,9.741,32.124,25
South Africa,10.797159999999998,8.75,13.392,25
South Sudan,13.52456,9.302,25.765,25
Spain,8.832,8.2,10.4,25
